sku,event_name,event_type,start_date,end_date,discount_percent,expected_lift_percent,status
AP-1015,Q4 Holiday Campaign - AP-1015,holiday,2026-10-15,2026-12-31,16.4,33.38,planned
AP-1015,Black Friday Sale - AP-1015,flash_sale,2026-11-23,2026-11-27,47.34,78.54,planned
AP-1016,Q4 Holiday Campaign - AP-1016,holiday,2026-10-15,2026-12-31,22.95,48.42,planned
AP-1016,Black Friday Sale - AP-1016,flash_sale,2026-11-23,2026-11-27,48.65,83.54,planned
AP-1017,Black Friday Sale - AP-1017,flash_sale,2026-11-23,2026-11-27,41.68,96.98,planned
AP-1019,Black Friday Sale - AP-1019,flash_sale,2026-11-23,2026-11-27,35.56,93.87,planned
AP-1020,Black Friday Sale - AP-1020,flash_sale,2026-11-23,2026-11-27,41.38,52.35,planned
AP-1021,Black Friday Sale - AP-1021,flash_sale,2026-11-23,2026-11-27,30.87,87.19,planned
AP-1022,Q4 Holiday Campaign - AP-1022,holiday,2026-10-15,2026-12-31,38.76,62.95,planned
AP-1022,Black Friday Sale - AP-1022,flash_sale,2026-11-23,2026-11-27,39.47,50.51,planned
AP-1023,Black Friday Sale - AP-1023,flash_sale,2026-11-23,2026-11-27,42.3,75.76,planned
AP-1024,Q4 Holiday Campaign - AP-1024,holiday,2026-10-15,2026-12-31,17.01,55.19,planned
AP-1025,Black Friday Sale - AP-1025,flash_sale,2026-11-23,2026-11-27,41.17,76.1,planned
AP-1026,Black Friday Sale - AP-1026,flash_sale,2026-11-23,2026-11-27,41.24,69.23,planned
AP-1027,Black Friday Sale - AP-1027,flash_sale,2026-11-23,2026-11-27,43.11,74.35,planned
AP-1028,Black Friday Sale - AP-1028,flash_sale,2026-11-23,2026-11-27,40.1,70.36,planned
AP-1029,Black Friday Sale - AP-1029,flash_sale,2026-11-23,2026-11-27,30.42,77.32,planned
FO-1031,Black Friday Sale - FO-1031,flash_sale,2026-11-23,2026-11-27,44.53,51.74,planned
FO-1032,Black Friday Sale - FO-1032,flash_sale,2026-11-23,2026-11-27,41.32,85.62,planned
FO-1033,Q4 Holiday Campaign - FO-1033,holiday,2026-10-15,2026-12-31,21.83,38.4,planned
FO-1033,Black Friday Sale - FO-1033,flash_sale,2026-11-23,2026-11-27,46.97,67.93,planned
FO-1034,Black Friday Sale - FO-1034,flash_sale,2026-11-23,2026-11-27,47,95.94,planned
FO-1036,Q4 Holiday Campaign - FO-1036,holiday,2026-10-15,2026-12-31,34.47,52.68,planned
FO-1037,Q4 Holiday Campaign - FO-1037,holiday,2026-10-15,2026-12-31,27.26,52.49,planned
FO-1039,Q4 Holiday Campaign - FO-1039,holiday,2026-10-15,2026-12-31,31.27,55.05,planned
FO-1040,Q4 Holiday Campaign - FO-1040,holiday,2026-10-15,2026-12-31,32.42,45.16,planned
FO-1042,Black Friday Sale - FO-1042,flash_sale,2026-11-23,2026-11-27,41.77,82.14,planned
FO-1043,Q4 Holiday Campaign - FO-1043,holiday,2026-10-15,2026-12-31,34.76,26.05,planned
FO-1043,Black Friday Sale - FO-1043,flash_sale,2026-11-23,2026-11-27,38.3,67.1,planned
FO-1044,Black Friday Sale - FO-1044,flash_sale,2026-11-23,2026-11-27,38.69,73.52,planned
HO-1045,Q4 Holiday Campaign - HO-1045,holiday,2026-10-15,2026-12-31,24.21,44.59,planned
HO-1046,Black Friday Sale - HO-1046,flash_sale,2026-11-23,2026-11-27,49.93,70.71,planned
HO-1047,Q4 Holiday Campaign - HO-1047,holiday,2026-10-15,2026-12-31,30.18,46.77,planned
HO-1048,Black Friday Sale - HO-1048,flash_sale,2026-11-23,2026-11-27,35.34,58.34,planned
HO-1049,Q4 Holiday Campaign - HO-1049,holiday,2026-10-15,2026-12-31,39.81,35.28,planned
HO-1050,Black Friday Sale - HO-1050,flash_sale,2026-11-23,2026-11-27,44.78,53.19,planned
HO-1051,Q4 Holiday Campaign - HO-1051,holiday,2026-10-15,2026-12-31,39.08,40.43,planned
HO-1051,Black Friday Sale - HO-1051,flash_sale,2026-11-23,2026-11-27,37.68,87.98,planned
HO-1052,Q4 Holiday Campaign - HO-1052,holiday,2026-10-15,2026-12-31,23.7,55.78,planned
HO-1052,Black Friday Sale - HO-1052,flash_sale,2026-11-23,2026-11-27,43.8,77.12,planned
HO-1054,Q4 Holiday Campaign - HO-1054,holiday,2026-10-15,2026-12-31,31.42,31.6,planned
HO-1054,Black Friday Sale - HO-1054,flash_sale,2026-11-23,2026-11-27,41.54,84.35,planned
HO-1056,Black Friday Sale - HO-1056,flash_sale,2026-11-23,2026-11-27,38.52,60.8,planned
HO-1057,Q4 Holiday Campaign - HO-1057,holiday,2026-10-15,2026-12-31,36.92,57.84,planned
HO-1058,Q4 Holiday Campaign - HO-1058,holiday,2026-10-15,2026-12-31,23.56,51.14,planned
HO-1059,Q4 Holiday Campaign - HO-1059,holiday,2026-10-15,2026-12-31,37.65,38.47,planned
HO-1059,Black Friday Sale - HO-1059,flash_sale,2026-11-23,2026-11-27,30.63,96.2,planned
SP-1062,Black Friday Sale - SP-1062,flash_sale,2026-11-23,2026-11-27,49.08,64.86,planned
SP-1063,Q4 Holiday Campaign - SP-1063,holiday,2026-10-15,2026-12-31,34.78,28.68,planned
SP-1063,Black Friday Sale - SP-1063,flash_sale,2026-11-23,2026-11-27,30.53,74.45,planned
SP-1064,Black Friday Sale - SP-1064,flash_sale,2026-11-23,2026-11-27,49.11,70.41,planned
SP-1065,Q4 Holiday Campaign - SP-1065,holiday,2026-10-15,2026-12-31,25.16,50.64,planned
SP-1065,Black Friday Sale - SP-1065,flash_sale,2026-11-23,2026-11-27,41.13,90.24,planned
SP-1066,Q4 Holiday Campaign - SP-1066,holiday,2026-10-15,2026-12-31,36.64,34.51,planned
SP-1066,Black Friday Sale - SP-1066,flash_sale,2026-11-23,2026-11-27,38.86,89.15,planned
SP-1068,Q4 Holiday Campaign - SP-1068,holiday,2026-10-15,2026-12-31,26.98,29.86,planned
SP-1069,Black Friday Sale - SP-1069,flash_sale,2026-11-23,2026-11-27,46.05,65.29,planned
SP-1071,Q4 Holiday Campaign - SP-1071,holiday,2026-10-15,2026-12-31,19.29,50.38,planned
SP-1071,Black Friday Sale - SP-1071,flash_sale,2026-11-23,2026-11-27,31.31,81.33,planned
SP-1072,Q4 Holiday Campaign - SP-1072,holiday,2026-10-15,2026-12-31,26.7,58.82,planned
SP-1072,Black Friday Sale - SP-1072,flash_sale,2026-11-23,2026-11-27,46.67,79.11,planned
SP-1073,Black Friday Sale - SP-1073,flash_sale,2026-11-23,2026-11-27,33.29,87.83,planned
SP-1074,Q4 Holiday Campaign - SP-1074,holiday,2026-10-15,2026-12-31,15.13,31.14,planned
AU-1075,Black Friday Sale - AU-1075,flash_sale,2026-11-23,2026-11-27,45.22,97.15,planned
AU-1076,Black Friday Sale - AU-1076,flash_sale,2026-11-23,2026-11-27,49.56,65.45,planned
AU-1077,Q4 Holiday Campaign - AU-1077,holiday,2026-10-15,2026-12-31,26.72,41.09,planned
AU-1077,Black Friday Sale - AU-1077,flash_sale,2026-11-23,2026-11-27,37.67,75.23,planned
AU-1078,Q4 Holiday Campaign - AU-1078,holiday,2026-10-15,2026-12-31,23.53,58.53,planned
AU-1079,Q4 Holiday Campaign - AU-1079,holiday,2026-10-15,2026-12-31,37.83,46.59,planned
AU-1080,Q4 Holiday Campaign - AU-1080,holiday,2026-10-15,2026-12-31,35.11,35.75,planned
AU-1080,Black Friday Sale - AU-1080,flash_sale,2026-11-23,2026-11-27,33.97,70.22,planned
AU-1081,Q4 Holiday Campaign - AU-1081,holiday,2026-10-15,2026-12-31,18.99,54.48,planned
AU-1081,Black Friday Sale - AU-1081,flash_sale,2026-11-23,2026-11-27,33.31,82.01,planned
AU-1082,Black Friday Sale - AU-1082,flash_sale,2026-11-23,2026-11-27,46.65,79.42,planned
AU-1084,Black Friday Sale - AU-1084,flash_sale,2026-11-23,2026-11-27,49.92,77.85,planned
AU-1085,Black Friday Sale - AU-1085,flash_sale,2026-11-23,2026-11-27,48,60.16,planned
AU-1086,Black Friday Sale - AU-1086,flash_sale,2026-11-23,2026-11-27,36.84,79.52,planned
AU-1087,Q4 Holiday Campaign - AU-1087,holiday,2026-10-15,2026-12-31,24.2,47.38,planned
AU-1087,Black Friday Sale - AU-1087,flash_sale,2026-11-23,2026-11-27,46.69,64.17,planned
AU-1089,Q4 Holiday Campaign - AU-1089,holiday,2026-10-15,2026-12-31,21.34,32.46,planned
